GB_Accession/TriTrypDB,Species,Strain
AAA21275.1,Trypanosoma brucei brucei,NA
AAA30284.1,Trypanosoma brucei brucei,NA
AAA30289.1,Trypanosoma brucei brucei,NA
AAA30312.1,Trypanosoma brucei brucei,NA
AAB08765.1,Trypanosoma brucei brucei,NA
AAD13935.1,Trypanosoma brucei brucei,NA
AAG03079.1,Trypanosoma brucei brucei,NA
AAO19142.1,Trypanosoma brucei brucei,NA
AAO19143.1,Trypanosoma brucei brucei,NA
AAX69997.1,Trypanosoma brucei brucei,NA
AAX70776.1,Trypanosoma brucei brucei,NA
ABN70725.1,Trypanosoma brucei brucei,NA
ABQ42592.1,Trypanosoma brucei brucei,NA
ABQ52442.1,Trypanosoma brucei brucei,NA
AF107887.1,Trypanosoma brucei brucei,NA
AF259553.1,Trypanosoma brucei brucei,NA
AF294806.2,Trypanosoma brucei brucei,NA
AF335471.2,Trypanosoma brucei brucei,NA
AGQ49807.1,Trypanosoma brucei brucei,NA
AGQ49809.1,Trypanosoma brucei brucei,NA
AGQ49810.1,Trypanosoma brucei brucei,NA
AGQ49833.1,Trypanosoma brucei brucei,NA
AGQ49841.1,Trypanosoma brucei brucei,NA
AGQ49842.1,Trypanosoma brucei brucei,NA
AGQ49857.1,Trypanosoma brucei brucei,NA
AGQ49860.1,Trypanosoma brucei brucei,NA
AGQ49861.1,Trypanosoma brucei brucei,NA
AGQ49878.1,Trypanosoma brucei brucei,NA
AGQ49888.1,Trypanosoma brucei brucei,NA
AGQ49891.1,Trypanosoma brucei brucei,NA
AGQ49908.1,Trypanosoma brucei brucei,NA
AGQ49917.1,Trypanosoma brucei brucei,NA
AGQ49929.1,Trypanosoma brucei brucei,NA
AGQ49931.1,Trypanosoma brucei brucei,NA
AGQ49939.1,Trypanosoma brucei brucei,NA
AGQ49943.1,Trypanosoma brucei brucei,NA
AGQ49944.1,Trypanosoma brucei brucei,NA
AGQ49945.1,Trypanosoma brucei brucei,NA
AGQ49947.1,Trypanosoma brucei brucei,NA
AGQ49948.1,Trypanosoma brucei brucei,NA
AGQ49951.1,Trypanosoma brucei brucei,NA
AGQ49957.1,Trypanosoma brucei brucei,NA
AGQ49962.1,Trypanosoma brucei brucei,NA
AGQ49963.1,Trypanosoma brucei brucei,NA
AGQ49983.1,Trypanosoma brucei brucei,NA
AGQ49993.1,Trypanosoma brucei brucei,NA
AGQ50000.1,Trypanosoma brucei brucei,NA
AGQ50015.1,Trypanosoma brucei brucei,NA
