hit_name,percent_query_aligned,percent_identity,hit_length,query_length
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),34.9307774228,23.4620886981,1398,939
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),34.9307774228,23.4620886981,1398,939
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),34.9307774228,23.4620886981,1398,939
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),34.9307774228,23.4620886981,1398,939
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),34.9307774228,23.4620886981,1398,939
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),34.9307774228,23.4620886981,1398,939
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,42.6392067124,46.5445462115,1201,1311
