hit_name,percent_query_aligned,percent_identity,hit_length,query_length
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),83.2891246684,67.3819742489,1398,1131
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),89.4586894587,67.3819742489,1398,1053
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.5034324943,44.2131557036,1201,1311
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),88.6505808758,70.9585121602,1398,1119
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),88.5612153709,70.886981402,1398,1119
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.5034324943,44.2131557036,1201,1311
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),89.4586894587,67.3819742489,1398,1053
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),90.0900900901,71.530758226,1398,1110
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),90.2631578947,73.6051502146,1398,1140
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.5034324943,44.2131557036,1201,1311
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),90.2631578947,73.6051502146,1398,1140
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.5034324943,44.2131557036,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.5034324943,44.2131557036,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.5034324943,44.2131557036,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.5034324943,44.2131557036,1201,1311
gnl|BL_ORD_ID|0 AF107887.1 Trypanosoma brucei variant surface glycoprotein gene partial cds,40.5034324943,44.2131557036,1201,1311
gnl|BL_ORD_ID|1 Z37159.2 Trypanosoma brucei mRNA for VSG-like protein (sra gene),83.3628318584,67.3819742489,1398,1130
