original_seqID,original_seq_length,nterm_seq_length,HMM_profile,nterm_typesubtype
Tb427VSG-0,471,382,VSG-N-TypeA,1b
Tb427VSG-1,492,395,VSG-N-TypeA,A2
Tb427VSG-2,476,384,VSG-N-TypeA,A2
Tb427VSG-3,509,393,VSG-N-TypeB,B1
Tb427VSG-4,526,400,VSG-N-TypeA,A2
Tb427VSG-5,474,71,VSG-N-TypeA,A2
Tb427VSG-6,529,402,VSG-N-TypeA,A2
Tb427VSG-7,488,414,VSG-N-TypeA,1a
Tb427VSG-8,466,316,VSG-N-TypeA,A2
Tb427VSG-9,527,400,VSG-N-TypeB,B1
Tb427VSG-11,518,395,VSG-N-TypeB,B1
Tb427VSG-12,501,394,VSG-N-TypeA,A2
Tb427VSG-13,499,389,VSG-N-TypeA,1b
Tb427VSG-14,488,388,VSG-N-TypeB,B1
Tb427VSG-15,537,396,VSG-N-TypeB,B1
Tb427VSG-16,482,383,VSG-N-TypeA,A2
Tb427VSG-17,504,407,VSG-N-TypeA,A2
Tb427VSG-18,526,391,VSG-N-TypeA,A2
Tb427VSG-19,489,398,VSG-N-TypeA,A2
Tb427VSG-21,476,391,VSG-N-TypeA,1c
Tb427VSG-23,513,397,VSG-N-TypeB,B1
Tb427VSG-24,502,381,VSG-N-TypeA,A2
Tb427VSG-30,399,303,VSG-N-TypeA,A2
Tb427VSG-222,453,370,VSG-N-TypeB,B1
AAA21275.1,479,340,VSG-N-TypeA,A2
AAA30284.1,274,186,VSG-N-TypeA,1b
AAA30289.1,227,173,VSG-N-TypeA,A2
AAA30312.1,518,398,VSG-N-TypeA,A2
AAB08765.1,524,400,VSG-N-TypeA,A2
AAD13935.1,267,266,VSG-N-TypeA,A2
AAG03079.1,485,389,VSG-N-TypeA,A2
AAO19142.1,274,139,VSG-N-TypeA,A2
AAO19143.1,181,64,VSG-N-TypeA,A2
AAX69997.1,475,408,VSG-N-TypeA,1a
AAX70776.1,343,263,VSG-N-TypeB,B1
ABN70725.1,509,419,VSG-N-TypeA,1a
ABQ42592.1,458,404,VSG-N-TypeA,1c
ABQ52442.1,486,388,VSG-N-TypeB,B1
AF259553.1,517,397,VSG-N-TypeA,A2
AF294806.2,323,227,VSG-N-TypeA,A2
AF294807.1,225,224,VSG-N-TypeA,A2
