Assembled_VSG_188	Cluster 0
Assembled_VSG_189	Cluster 1
Assembled_VSG_9746	Cluster 1
Assembled_VSG_190	Cluster 2
Assembled_VSG_192	Cluster 3
Assembled_VSG_194	Cluster 3
Assembled_VSG_200	Cluster 3
Assembled_VSG_197	Cluster 3
Assembled_VSG_193	Cluster 3
Assembled_VSG_198	Cluster 3
Assembled_VSG_201	Cluster 3
Assembled_VSG_195	Cluster 3
Assembled_VSG_202	Cluster 3
Assembled_VSG_196	Cluster 3
Assembled_VSG_199	Cluster 3
Assembled_VSG_48102	Cluster 3
Assembled_VSG_211	Cluster 3
Assembled_VSG_214	Cluster 3
Assembled_VSG_215	Cluster 3
Assembled_VSG_219	Cluster 3
Assembled_VSG_220	Cluster 3
Assembled_VSG_222	Cluster 3
Assembled_VSG_224	Cluster 3
Assembled_VSG_481	Cluster 3
Assembled_VSG_228	Cluster 3
Assembled_VSG_229	Cluster 3
Assembled_VSG_230	Cluster 3
Assembled_VSG_232	Cluster 4
Assembled_VSG_5910	Cluster 4
Assembled_VSG_4718	Cluster 4
Assembled_VSG_5911	Cluster 4
Assembled_VSG_233	Cluster 4
Assembled_VSG_234	Cluster 4
Assembled_VSG_237	Cluster 4
Assembled_VSG_208	Cluster 4
Assembled_VSG_238	Cluster 4
Assembled_VSG_191	Cluster 4
Assembled_VSG_203	Cluster 4
Assembled_VSG_204	Cluster 4
Assembled_VSG_205	Cluster 4
Assembled_VSG_206	Cluster 4
Assembled_VSG_207	Cluster 4
Assembled_VSG_209	Cluster 4
Assembled_VSG_210	Cluster 4
Assembled_VSG_212	Cluster 4
Assembled_VSG_213	Cluster 4
Assembled_VSG_216	Cluster 4
Assembled_VSG_217	Cluster 4
Assembled_VSG_218	Cluster 4
Assembled_VSG_221	Cluster 4
Assembled_VSG_223	Cluster 4
Assembled_VSG_225	Cluster 4
Assembled_VSG_226	Cluster 4
Assembled_VSG_227	Cluster 4
Assembled_VSG_231	Cluster 4
Assembled_VSG_235	Cluster 4
Assembled_VSG_236	Cluster 4
Assembled_VSG_239	Cluster 5
Assembled_VSG_242	Cluster 5
Assembled_VSG_245	Cluster 5
Assembled_VSG_240	Cluster 5
Assembled_VSG_243	Cluster 5
Assembled_VSG_241	Cluster 5
Assembled_VSG_244	Cluster 5
Assembled_VSG_251	Cluster 5
Assembled_VSG_252	Cluster 5
Assembled_VSG_246	Cluster 5
Assembled_VSG_247	Cluster 5
Assembled_VSG_248	Cluster 5
Assembled_VSG_249	Cluster 5
Assembled_VSG_250	Cluster 5
Assembled_VSG_253	Cluster 5
Assembled_VSG_254	Cluster 5
Assembled_VSG_255	Cluster 6
Assembled_VSG_346	Cluster 6
Assembled_VSG_274	Cluster 6
Assembled_VSG_256	Cluster 6
Assembled_VSG_12856	Cluster 6
Assembled_VSG_257	Cluster 7
Assembled_VSG_75693	Cluster 7
Assembled_VSG_6489	Cluster 7
Assembled_VSG_258	Cluster 7
Assembled_VSG_6546	Cluster 7
Assembled_VSG_261	Cluster 7
Assembled_VSG_6478	Cluster 8
Assembled_VSG_6508	Cluster 8
Assembled_VSG_10024	Cluster 8
Assembled_VSG_259	Cluster 8
Assembled_VSG_6544	Cluster 8
Assembled_VSG_31576	Cluster 8
Assembled_VSG_260	Cluster 8
Assembled_VSG_21139	Cluster 8
Assembled_VSG_263	Cluster 9
Assembled_VSG_266	Cluster 9
Assembled_VSG_578	Cluster 9
Assembled_VSG_621	Cluster 9
Assembled_VSG_1120	Cluster 9
Assembled_VSG_2402	Cluster 9
Assembled_VSG_76261	Cluster 9
Assembled_VSG_76262	Cluster 9
Assembled_VSG_480	Cluster 9
Assembled_VSG_551	Cluster 9
Assembled_VSG_267	Cluster 9
Assembled_VSG_14210	Cluster 9
Assembled_VSG_867	Cluster 9
Assembled_VSG_667	Cluster 10
Assembled_VSG_679	Cluster 10
Assembled_VSG_262	Cluster 10
Assembled_VSG_268	Cluster 10
Assembled_VSG_1138	Cluster 10
Assembled_VSG_728	Cluster 10
Assembled_VSG_729	Cluster 10
Assembled_VSG_1122	Cluster 10
Assembled_VSG_1123	Cluster 10
Assembled_VSG_745	Cluster 10
Assembled_VSG_1329	Cluster 10
Assembled_VSG_749	Cluster 10
Assembled_VSG_652	Cluster 10
Assembled_VSG_6222	Cluster 10
Assembled_VSG_761	Cluster 10
Assembled_VSG_1129	Cluster 10
Assembled_VSG_264	Cluster 11
Assembled_VSG_57292	Cluster 11
Assembled_VSG_46603	Cluster 11
Assembled_VSG_55464	Cluster 11
Assembled_VSG_66561	Cluster 11
Assembled_VSG_69321	Cluster 11
Assembled_VSG_265	Cluster 12
Assembled_VSG_28689	Cluster 12
Assembled_VSG_269	Cluster 13
Assembled_VSG_284	Cluster 13
Assembled_VSG_71815	Cluster 13
Assembled_VSG_37028	Cluster 14
Assembled_VSG_9819	Cluster 14
Assembled_VSG_43921	Cluster 14
Assembled_VSG_273	Cluster 14
Assembled_VSG_10174	Cluster 14
Assembled_VSG_37117	Cluster 14
Assembled_VSG_37126	Cluster 14
Assembled_VSG_37131	Cluster 14
Assembled_VSG_799	Cluster 14
Assembled_VSG_11857	Cluster 14
Assembled_VSG_10226	Cluster 14
Assembled_VSG_9843	Cluster 14
Assembled_VSG_9859	Cluster 14
Assembled_VSG_10262	Cluster 14
Assembled_VSG_270	Cluster 14
Assembled_VSG_10303	Cluster 14
Assembled_VSG_272	Cluster 15
Assembled_VSG_803	Cluster 15
Assembled_VSG_271	Cluster 15
Assembled_VSG_275	Cluster 16
Assembled_VSG_278	Cluster 16
Assembled_VSG_280	Cluster 16
Assembled_VSG_276	Cluster 16
Assembled_VSG_277	Cluster 16
Assembled_VSG_279	Cluster 16
Assembled_VSG_281	Cluster 16
Assembled_VSG_282	Cluster 16
Assembled_VSG_283	Cluster 16
Assembled_VSG_285	Cluster 17
Assembled_VSG_286	Cluster 18
Assembled_VSG_72955	Cluster 18
Assembled_VSG_62998	Cluster 18
Assembled_VSG_1691	Cluster 18
Assembled_VSG_63129	Cluster 18
Assembled_VSG_63135	Cluster 18
Assembled_VSG_288	Cluster 19
Assembled_VSG_296	Cluster 19
Assembled_VSG_293	Cluster 19
Assembled_VSG_289	Cluster 19
Assembled_VSG_294	Cluster 19
Assembled_VSG_297	Cluster 19
Assembled_VSG_290	Cluster 19
Assembled_VSG_291	Cluster 19
Assembled_VSG_298	Cluster 19
Assembled_VSG_292	Cluster 19
Assembled_VSG_295	Cluster 19
Assembled_VSG_333	Cluster 19
Assembled_VSG_334	Cluster 19
Assembled_VSG_335	Cluster 19
Assembled_VSG_336	Cluster 19
Assembled_VSG_339	Cluster 19
Assembled_VSG_340	Cluster 19
Assembled_VSG_287	Cluster 19
Assembled_VSG_299	Cluster 19
Assembled_VSG_437	Cluster 19
Assembled_VSG_300	Cluster 19
Assembled_VSG_301	Cluster 19
Assembled_VSG_302	Cluster 19
Assembled_VSG_303	Cluster 19
Assembled_VSG_405	Cluster 19
Assembled_VSG_304	Cluster 19
Assembled_VSG_305	Cluster 19
Assembled_VSG_406	Cluster 19
Assembled_VSG_306	Cluster 19
Assembled_VSG_307	Cluster 19
Assembled_VSG_308	Cluster 19
Assembled_VSG_309	Cluster 19
Assembled_VSG_310	Cluster 19
Assembled_VSG_311	Cluster 19
Assembled_VSG_312	Cluster 19
Assembled_VSG_313	Cluster 19
Assembled_VSG_314	Cluster 19
Assembled_VSG_315	Cluster 19
Assembled_VSG_316	Cluster 19
Assembled_VSG_317	Cluster 19
Assembled_VSG_320	Cluster 19
Assembled_VSG_322	Cluster 19
Assembled_VSG_323	Cluster 19
Assembled_VSG_325	Cluster 19
Assembled_VSG_327	Cluster 19
Assembled_VSG_1796	Cluster 19
Assembled_VSG_330	Cluster 19
Assembled_VSG_331	Cluster 19
Assembled_VSG_332	Cluster 19
Assembled_VSG_337	Cluster 19
Assembled_VSG_338	Cluster 19
Assembled_VSG_342	Cluster 20
Assembled_VSG_341	Cluster 20
Assembled_VSG_318	Cluster 21
Assembled_VSG_319	Cluster 21
Assembled_VSG_321	Cluster 21
Assembled_VSG_324	Cluster 21
Assembled_VSG_326	Cluster 21
Assembled_VSG_328	Cluster 21
Assembled_VSG_329	Cluster 21
